comparison,cell_index,cell_key,seed,baseline_step,followup_step,baseline_learning_rate,followup_learning_rate,baseline_full_gate_pass,followup_full_gate_pass,gate_transition,baseline_check_base_accuracy,baseline_check_population_risk,baseline_check_value_flip_effect,baseline_check_donor_accuracy,baseline_check_natural_swap_mse,followup_check_base_accuracy,followup_check_population_risk,followup_check_value_flip_effect,followup_check_donor_accuracy,followup_check_natural_swap_mse,baseline_base_mse,followup_base_mse,delta_base_mse,baseline_donor_mse,followup_donor_mse,delta_donor_mse,baseline_swap_mse,followup_swap_mse,delta_swap_mse,baseline_walsh_distractor_direct,followup_walsh_distractor_direct,delta_walsh_distractor_direct,baseline_walsh_interaction,followup_walsh_interaction,delta_walsh_interaction,baseline_walsh_distractor_only_interaction,followup_walsh_distractor_only_interaction,delta_walsh_distractor_only_interaction,baseline_walsh_target_interaction,followup_walsh_target_interaction,delta_walsh_target_interaction,baseline_walsh_leakage,followup_walsh_leakage,delta_walsh_leakage,baseline_walsh_total_error,followup_walsh_total_error,delta_walsh_total_error
baseline_eval_b256_to_b2048,1,C8-d8-L2-H4-m4-ffnnone,0,800,800,0.003,0.003,True,True,pass_to_pass,True,True,True,True,True,True,True,True,True,True,0.0013338056160137057,0.0015823027351871133,0.00024849711917340755,0.0015172106213867664,0.001451391028240323,-6.581959314644337e-05,0.0013052902650088072,0.0012849695049226284,-2.032076008617878e-05,0.0003819964767899364,0.0004060311184730381,2.4034641683101654e-05,0.0005509291659109294,0.0005019217496737838,-4.900741623714566e-05,0.00012131701805628836,0.00010746825864771381,-1.3848759408574551e-05,0.00042961217695847154,0.0003944534983020276,-3.5158678656443954e-05,0.0009329256427008659,0.0009079528681468219,-2.4972774554044008e-05,0.0015522188041359186,0.0015088901855051517,-4.332861863076687e-05
baseline_eval_b256_to_b2048,1,C8-d8-L2-H4-m4-ffnnone,1,800,800,0.003,0.003,True,True,pass_to_pass,True,True,True,True,True,True,True,True,True,True,0.0005714376457035542,0.0006277367938309908,5.629914812743664e-05,0.0008587439078837633,0.0005948690231889486,-0.0002638748846948147,0.0008958883117884398,0.0005032081971876323,-0.00039268011460080743,0.00016895322187338024,0.00019150572188664228,2.2552500013262033e-05,0.00017564819427207112,0.00021249115525279194,3.684296098072082e-05,4.746494232676923e-05,6.722222315147519e-05,1.975728082470596e-05,0.00012818323739338666,0.00014526894665323198,1.7085709259845316e-05,0.00034460141614545137,0.0004039968771394342,5.939546099398285e-05,0.0005696045118384063,0.0006638484774157405,9.424396557733417e-05
baseline_eval_b256_to_b2048,1,C8-d8-L2-H4-m4-ffnnone,2,800,800,0.003,0.003,True,False,pass_to_fail,True,True,True,True,True,True,True,True,True,False,0.0019425628706812859,0.0026183261070400476,0.0006757632363587618,0.0021338455844670534,0.0026260195299983025,0.000492173945531249,0.0016878709429875016,0.0028398092836141586,0.001151938340626657,0.0005932935746386647,0.0006440433207899332,5.074974615126848e-05,0.0008432986214756966,0.000978307332843542,0.00013500871136784554,0.00023969014000613242,0.00027683921507559717,3.714907506946474e-05,0.0006036084378138185,0.0007014682050794363,9.785976726561785e-05,0.0014365921961143613,0.0016223506536334753,0.00018575845751911402,0.0023338429164141417,0.00265254033729434,0.0003186974208801985
baseline_eval_b256_to_b2048,1,C8-d8-L2-H4-m4-ffnnone,3,800,800,0.003,0.003,True,True,pass_to_pass,True,True,True,True,True,True,True,True,True,True,0.0007042963989078999,0.0007920818170532584,8.778541814535856e-05,0.0007639212999492884,0.0007717447588220239,7.8234588727355e-06,0.0005573660600930452,0.0007108313729986548,0.0001534653129056096,0.00020512164337560534,0.00022842720500193536,2.3305561626330018e-05,0.0002712598943617195,0.00024293095339089632,-2.832894097082317e-05,7.102292875060812e-05,5.998192500555888e-05,-1.1041003745049238e-05,0.00020023695833515376,0.00018294903566129506,-1.7287922673858702e-05,0.00047638153773732483,0.0004713581583928317,-5.023379344493151e-06,0.0008362579392269254,0.0008047912269830704,-3.1466712243855e-05
baseline_eval_b256_to_b2048,1,C8-d8-L2-H4-m4-ffnnone,4,800,800,0.003,0.003,True,True,pass_to_pass,True,True,True,True,True,True,True,True,True,True,0.0006775602232664824,0.000809635384939611,0.0001320751616731286,0.0007078833878040314,0.0007855711737647653,7.768778596073389e-05,0.0005722064524888992,0.0007897462346591055,0.0002175397821702063,0.00018445667228661478,0.00017205055337399244,-1.2406118912622333e-05,0.00028872076654806733,0.00029201089637354016,3.2901298254728317e-06,6.603071233257651e-05,6.826057506259531e-05,2.2298627300187945e-06,0.00022269006876740605,0.00022375030675902963,1.0602379916235805e-06,0.0004731774388346821,0.0004640614497475326,-9.1159890871495e-06,0.0007662205025553703,0.0007526401896029711,-1.3580312952399254e-05
baseline_eval_b256_to_b2048,1,C8-d8-L2-H4-m4-ffnnone,5,800,800,0.003,0.003,True,True,pass_to_pass,True,True,True,True,True,True,True,True,True,True,0.0005829429719597101,0.0005867187865078449,3.7758145481348038e-06,0.0005363879608921707,0.0006272036698646843,9.081570897251368e-05,0.0006664532702416182,0.0005766756366938353,-8.97776335477829e-05,0.00018566886137705296,0.00017932364426087588,-6.345217116177082e-06,0.00018493414972908795,0.00017327108071185648,-1.1663069017231464e-05,3.1529638363281265e-05,2.7573029001359828e-05,-3.956609361921437e-06,0.0001534045150037855,0.00014569805352948606,-7.706461474299431e-06,0.0003706030111061409,0.00035259472497273237,-1.8008286133408546e-05,0.0006344277644529939,0.0005976578104309738,-3.67699540220201e-05
baseline_eval_b256_to_b2048,1,C8-d8-L2-H4-m4-ffnnone,6,800,800,0.003,0.003,True,False,pass_to_fail,True,True,True,True,True,True,True,True,True,False,0.002537680324167013,0.0026026065461337566,6.492622196674347e-05,0.002923577558249235,0.002740848809480667,-0.00018272874876856804,0.002263416536152363,0.002607034519314766,0.0003436179831624031,0.0008225217461585999,0.0008445591665804386,2.203742042183876e-05,0.0010366154601797462,0.0011051346082240343,6.851914804428816e-05,0.0002789859427139163,0.00028503473731689155,6.048794602975249e-06,0.000757629401050508,0.0008200998418033123,6.247044075280428e-05,0.001859137206338346,0.001949693774804473,9.055656846612692e-05,0.0026878861244767904,0.00280379643663764,0.00011591031216084957
baseline_eval_b256_to_b2048,1,C8-d8-L2-H4-m4-ffnnone,7,800,800,0.003,0.003,True,True,pass_to_pass,True,True,True,True,True,True,True,True,True,True,0.0006266540149226785,0.00048455953947268426,-0.0001420944754499942,0.0006566069787368178,0.0004517343477346003,-0.00020487263100221753,0.0004907437833026052,0.00043729774188250303,-5.344604142010212e-05,0.00014235920389182866,0.0001316473790211603,-1.0711824870668352e-05,0.0001290123473154381,0.0001263907179236412,-2.621629391796887e-06,3.2279876904794946e-05,3.0583771149395034e-05,-1.6961057553999126e-06,9.673247404862195e-05,9.580695041222498e-05,-9.255236363969743e-07,0.00027137155120726675,0.0002580380969448015,-1.3333454262465239e-05,0.00047815791913308203,0.00045936997048556805,-1.8787948647513986e-05
baseline_eval_b256_to_b2048,1,C8-d8-L2-H4-m4-ffnnone,8,800,800,0.003,0.003,True,True,pass_to_pass,True,True,True,True,True,True,True,True,True,True,0.0006197844631969929,0.0006345795700326562,1.4795106835663319e-05,0.0006096251890994608,0.0005807491252198815,-2.8876063879579306e-05,0.00040035974234342575,0.0005030081374570727,0.00010264839511364698,0.00021542573813349009,0.00020271394168958068,-1.2711796443909407e-05,0.00017467896395828575,0.00015458166308235377,-2.0097300875931978e-05,3.3479343983344734e-05,3.033841130672954e-05,-3.1409326766151935e-06,0.00014119961997494102,0.00012424326268956065,-1.6956357285380363e-05,0.00039010470209177583,0.00035729560477193445,-3.2809097319841385e-05,0.0006252668099477887,0.0005931408377364278,-3.212597221136093e-05
baseline_eval_b256_to_b2048,1,C8-d8-L2-H4-m4-ffnnone,9,800,800,0.003,0.003,True,True,pass_to_pass,True,True,True,True,True,True,True,True,True,True,0.0008915368816815317,0.0009885280160233378,9.699113434180617e-05,0.0008712135022506118,0.0009278791258111596,5.666562356054783e-05,0.0008796374313533306,0.0008197486167773604,-5.988881457597017e-05,0.0002601496526040137,0.0002584006288088858,-1.7490237951278687e-06,0.00036485015880316496,0.0003846200415864587,1.9769882783293724e-05,9.200187196256593e-05,0.00010914713493548334,1.7145262972917408e-05,0.00027284829411655664,0.0002754729357548058,2.624641638249159e-06,0.0006249998114071786,0.0006430206703953445,1.8020858988165855e-05,0.0009566654916852713,0.0009892259258776903,3.256043419241905e-05
baseline_eval_b256_to_b2048,2,C32-d8-L2-H1-m4-ffnnone,0,800,800,0.003,0.003,True,True,pass_to_pass,True,True,True,True,True,True,True,True,True,True,0.00024191432748921216,0.00034787223557941616,0.000105957908090204,0.00040932948468253016,0.0003463758039288223,-6.295368075370789e-05,0.0001816123549360782,0.00010478915646672249,-7.68231984693557e-05,4.5189888624008745e-05,5.590036016656086e-05,1.0710471542552114e-05,4.082200030097738e-05,4.676904427469708e-05,5.947043973719701e-06,3.2605430533294566e-06,2.9832781365257688e-06,-2.772649168036878e-07,3.756145451916382e-05,4.378576704766601e-05,6.224312528502196e-06,8.601188892498612e-05,0.00010266940444125794,1.6657515516271815e-05,0.00031187734566628933,0.00036123517202213407,4.9357826355844736e-05
baseline_eval_b256_to_b2048,2,C32-d8-L2-H1-m4-ffnnone,1,800,800,0.003,0.003,True,True,pass_to_pass,True,True,True,True,True,True,True,True,True,True,0.00023956656514201313,0.00033675660961307585,9.719004447106272e-05,0.0002966302854474634,0.0005062612472102046,0.0002096309617627412,0.00015565760259050876,0.00038621012936346233,0.00023055252677295357,4.193241329630837e-05,6.389219925040379e-05,2.1959785954095423e-05,2.3992613932932727e-05,6.02760337642394e-05,3.6283419831306674e-05,2.4888149710022844e-06,1.302253167523304e-05,1.0533716704230756e-05,2.150379805243574e-05,4.7253499360522255e-05,2.5749701308086514e-05,6.59250272292411e-05,0.0001241682330146432,5.82432057854021e-05,0.0002677012234926224,0.000362032005796209,9.43307823035866e-05
baseline_eval_b256_to_b2048,2,C32-d8-L2-H1-m4-ffnnone,2,800,800,0.003,0.003,True,True,pass_to_pass,True,True,True,True,True,True,True,True,True,True,0.00031230825698003173,0.0008639133302494884,0.0005516050732694566,0.00040063593769446015,0.0008908265735954046,0.0004901906359009445,0.0002496147935744375,0.0006801248528063297,0.00043051005923189223,6.845245661679655e-05,0.00017184781609103084,0.00010339535947423428,3.054950502701104e-05,9.570914698997512e-05,6.515964196296409e-05,2.3590746422996745e-06,1.4509800166706555e-05,1.215072552440688e-05,2.819042856572196e-05,8.119934500427917e-05,5.300891643855721e-05,9.900196164380759e-05,0.00026755696308100596,0.00016855500143719837,0.0003103015769738704,0.0005641095340251923,0.00025380795705132186
baseline_eval_b256_to_b2048,2,C32-d8-L2-H1-m4-ffnnone,3,800,800,0.003,0.003,True,True,pass_to_pass,True,True,True,True,True,True,True,True,True,True,0.0005675859865732491,0.0008990775095298886,0.00033149152295663953,0.0006893799873068929,0.0006148968823254108,-7.448310498148203e-05,0.00039241573540493846,0.0006139264442026615,0.00022151070879772305,0.00010677619866328314,0.0001576080685481429,5.083186988485977e-05,8.112919749692082e-05,0.00013705923629458994,5.593003879766911e-05,2.1807875327795045e-06,1.4565628589480184e-05,1.238484105670068e-05,7.894841837696731e-05,0.00012249361316207796,4.354519478511065e-05,0.00018790539616020396,0.00029466730484273285,0.00010676190868252888,0.0005424064001999795,0.0006694482290185988,0.00012704182881861925
baseline_eval_b256_to_b2048,2,C32-d8-L2-H1-m4-ffnnone,4,800,800,0.003,0.003,True,True,pass_to_pass,True,True,True,True,True,True,True,True,True,True,0.0001147925213444978,0.0020213467068970203,0.0019065541855525225,9.718247747514397e-05,0.0004831867408938706,0.0003860042634187266,4.302130764699541e-05,0.0008687332738190889,0.0008257119661720935,2.2257660020841286e-05,0.00011671340325847268,9.44557432376314e-05,2.5355546313221566e-05,0.00018935406114906073,0.00016399851483583916,1.4240864629755379e-06,3.785161970881745e-05,3.6427533245841914e-05,2.393146132817492e-05,0.00015150243416428566,0.00012757097283611074,4.761320633406285e-05,0.0003060674644075334,0.00025845425807347056,0.00011649518273770809,0.0004916078178212047,0.00037511263508349657
baseline_eval_b256_to_b2048,2,C32-d8-L2-H1-m4-ffnnone,5,800,800,0.003,0.003,True,True,pass_to_pass,True,True,True,True,True,True,True,True,True,True,0.0007074709283187985,0.0005345689132809639,-0.00017290201503783464,0.0005915566580370069,0.0005002417601644993,-9.131489787250757e-05,0.00031528895488008857,0.00028390935040079057,-3.1379604479297996e-05,0.000184937147423625,0.00015517958672717214,-2.9757560696452856e-05,7.23131961422041e-05,5.6814558774931356e-05,-1.549863736727275e-05,1.1543561413418502e-05,4.26934502684162e-06,-7.274216386576882e-06,6.07696310908068e-05,5.254521602182649e-05,-8.224415068980306e-06,0.0002572503435658291,0.0002119941455021035,-4.5256198063725606e-05,0.0005848152213729918,0.0005348545964807272,-4.9960624892264605e-05
baseline_eval_b256_to_b2048,2,C32-d8-L2-H1-m4-ffnnone,6,800,800,0.003,0.003,True,True,pass_to_pass,True,True,True,True,True,True,True,True,True,True,0.0006168899708427489,0.00036739406641572714,-0.00024949590442702174,0.0003978048334829509,0.0003700045053847134,-2.7800328098237514e-05,0.00023962309933267534,0.00018149102106690407,-5.813207826577127e-05,0.00010002002818509936,8.20088607724756e-05,-1.8011167412623763e-05,6.670108996331692e-05,5.196597339818254e-05,-1.4735116565134376e-05,7.258300684043206e-06,4.074774096807232e-06,-3.183526587235974e-06,5.94427838223055e-05,4.789120066561736e-05,-1.1551583156688139e-05,0.00016672111814841628,0.00013397483417065814,-3.274628397775814e-05,0.0004070623544976115,0.0003920042363461107,-1.5058118151500821e-05
baseline_eval_b256_to_b2048,2,C32-d8-L2-H1-m4-ffnnone,7,800,800,0.003,0.003,True,True,pass_to_pass,True,True,True,True,True,True,True,True,True,True,0.004283472429960966,0.0018554003909230232,-0.002428072039037943,0.002144936705008149,0.001241164980456233,-0.0009037717245519161,0.0006378174293786287,0.0018741090316325426,0.0012362916022539139,0.0003984254435636103,0.00023843738017603755,-0.00015998806338757277,0.00037568871630355716,0.0003354171058163047,-4.0271610487252474e-05,4.880475898971781e-05,8.285620424430817e-05,3.405144525459036e-05,0.00032688395003788173,0.00025256091612391174,-7.432303391397e-05,0.0007741141598671675,0.0005738544859923422,-0.00020025967387482524,0.0015403619036078453,0.0010299875866621733,-0.000510374316945672
baseline_eval_b256_to_b2048,2,C32-d8-L2-H1-m4-ffnnone,8,800,800,0.003,0.003,True,True,pass_to_pass,True,True,True,True,True,True,True,True,True,True,0.0007782498141750693,0.0009192968718707561,0.00014104705769568682,0.0008601609733887017,0.0008811053121462464,2.0944338757544756e-05,0.00034887687070295215,0.00027361459797248244,-7.52622727304697e-05,0.000160240160766989,0.0002113932278007269,5.11530670337379e-05,0.00011984782759100199,0.00019682495621964335,7.697712862864137e-05,3.990954610344488e-06,2.7147179935127497e-05,2.315622532478301e-05,0.0001158568702521734,0.00016967777628451586,5.3820906032342464e-05,0.000280087988357991,0.00040821818402037024,0.00012813019566237926,0.0008789137937128544,0.0010496133472770452,0.00017069955356419086
baseline_eval_b256_to_b2048,2,C32-d8-L2-H1-m4-ffnnone,9,800,800,0.003,0.003,True,True,pass_to_pass,True,True,True,True,True,True,True,True,True,True,0.0006947891088202596,0.0002777899499051273,-0.0004169991589151323,0.00025760623975656927,0.0002238922897959128,-3.3713949960656464e-05,0.0004396777367219329,0.0001342320756521076,-0.0003054456610698253,7.45148427085951e-05,5.899578536627814e-05,-1.5519057342316955e-05,4.750048174173571e-05,3.398624176043086e-05,-1.3514239981304854e-05,5.990490535623394e-06,3.5808689062832855e-06,-2.4096216293401085e-06,4.150998574914411e-05,3.0405373763642274e-05,-1.1104611985501833e-05,0.00012201532445033081,9.2982027126709e-05,-2.903329732362181e-05,0.00030036832322366536,0.00025875208666548133,-4.161623655818403e-05
baseline_eval_b256_to_b2048,3,C32-d8-L2-H4-m4-ffnnone,0,800,800,0.003,0.003,False,False,fail_to_fail,True,True,True,True,False,True,True,True,True,False,0.01170125138014555,0.01577896997332573,0.00407771859318018,0.011622748337686062,0.012541444040834904,0.0009186957031488419,0.016156721860170364,0.015775419771671295,-0.0003813020884990692,0.0026175067760050297,0.004385048523545265,0.0017675417475402355,0.0036959860008209944,0.005982549861073494,0.0022865638602524996,0.0009565255022607744,0.0015252529410645366,0.0005687274388037622,0.0027394602075219154,0.0044572968035936356,0.0017178365960717201,0.006313492776826024,0.01036759838461876,0.004054105607792735,0.00943329930305481,0.015066346153616905,0.005633046850562096
baseline_eval_b256_to_b2048,3,C32-d8-L2-H4-m4-ffnnone,1,800,800,0.003,0.003,False,False,fail_to_fail,True,True,True,True,False,True,True,True,True,False,0.037413399666547775,0.02305418998003006,-0.014359209686517715,0.030291780829429626,0.021546006202697754,-0.008745774626731873,0.009163804352283478,0.02601209655404091,0.01684829220175743,0.008498440496623516,0.007495450787246227,-0.0010029897093772888,0.009905973449349403,0.009263250976800919,-0.0006427224725484848,0.0020214528776705265,0.0022036139853298664,0.0001821611076593399,0.007884519174695015,0.0070596360601484776,-0.0008248831145465374,0.01840441394597292,0.016758701764047146,-0.0016457121819257736,0.027430716902017593,0.02430107817053795,-0.0031296387314796448
baseline_eval_b256_to_b2048,3,C32-d8-L2-H4-m4-ffnnone,2,800,800,0.003,0.003,False,False,fail_to_fail,True,True,True,True,False,True,True,True,True,False,0.021581439301371574,0.023975832387804985,0.0023943930864334106,0.014543564058840275,0.027720719575881958,0.013177155517041683,0.02482328750193119,0.025825725868344307,0.0010024383664131165,0.006395692937076092,0.008715808391571045,0.002320115454494953,0.007617052178829908,0.009344791993498802,0.0017277398146688938,0.0014540161937475204,0.0018672114238142967,0.0004131952300667763,0.006163035519421101,0.0074775805696845055,0.0013145450502634048,0.014012745115906,0.018060600385069847,0.004047855269163847,0.022123970091342926,0.027379225939512253,0.005255255848169327
baseline_eval_b256_to_b2048,3,C32-d8-L2-H4-m4-ffnnone,3,800,800,0.003,0.003,False,False,fail_to_fail,True,True,True,True,False,True,True,True,True,False,0.02274119295179844,0.03295157104730606,0.010210378095507622,0.04351005703210831,0.033029329031705856,-0.01048072800040245,0.019181985408067703,0.02196505293250084,0.002783067524433136,0.009361440315842628,0.010563511401414871,0.0012020710855722427,0.00904370192438364,0.010583177208900452,0.0015394752845168114,0.0017468668520450592,0.0020125198643654585,0.0002656530123203993,0.007296835072338581,0.00857065711170435,0.0012738220393657684,0.01840514224022627,0.021146688610315323,0.002741546370089054,0.030780579894781113,0.0344461165368557,0.003665536642074585
baseline_eval_b256_to_b2048,3,C32-d8-L2-H4-m4-ffnnone,4,800,800,0.003,0.003,False,False,fail_to_fail,True,True,True,True,False,True,True,True,True,False,0.02545161359012127,0.011922323144972324,-0.013529290445148945,0.0031858317088335752,0.013070600107312202,0.009884768398478627,0.019889328628778458,0.018107715994119644,-0.0017816126346588135,0.0033027566969394684,0.004869409836828709,0.0015666531398892403,0.004457646980881691,0.006588186603039503,0.002130539622157812,0.0012849741615355015,0.001800212194211781,0.0005152380326762795,0.003172672353684902,0.004787974525243044,0.0016153021715581417,0.007760403677821159,0.011457596439868212,0.0036971927620470524,0.010145969688892365,0.015221262350678444,0.005075292661786079
